Stock,LSTM (MAE),SVR_Linear (MAE),SVR_Polynomial (MAE),SVR_Rbf (MAE),Random Forest (MAE),Gradient Boosting (MAE),LSTM (MSE),SVR_Linear (MSE),SVR_Polynomial (MSE),SVR_Rbf (MSE),Random Forest (MSE),Gradient Boosting (MSE),LSTM (Dir. Symm.),SVR_Linear (Dir. Symm.),SVR_Polynomial (Dir. Symm.),SVR_Rbf (Dir. Symm.),Random Forest (Dir. Symm.),Gradient Boosting (Dir. Symm.),Model
ICICIBANK,0.38497015333929824,0.6171811288794686,0.7617481910643082,1.0,0.07356266927406402,0.0,0.2852675668276967,0.4994608871787839,0.7901253549821783,1.0,0.043451715211793474,0.0,51.98300283286119,49.787535410764875,49.787535410764875,50.35410764872521,50.56657223796034,51.98300283286119,Gradient Boosting
INDUSINDBK,0.5234188668992487,0.5899361934889479,0.9999999999999999,0.8445912905347749,0.07198178821634016,0.0,0.42572315569878855,0.4387668723119335,1.0,0.7184293985524237,0.05501361005249267,0.0,50.49575070821529,49.64589235127479,51.345609065155806,51.41643059490085,50.28328611898017,49.504249291784696,Random Forest
INFY,0.7745155488305944,0.3680553017579123,0.387034398668388,1.0,0.002060263665547235,0.0,0.9251579823080307,0.23415829148289508,0.3365275978488969,1.0,0.0,0.01314155116921803,47.875354107648725,47.30878186968839,50.07082152974505,48.51274787535411,47.6628895184136,48.371104815864015,Gradient Boosting
IOC,0.4696415309297217,0.7045112301792353,0.6935865695890557,1.0,0.0497695261340414,0.0,0.389040773497792,0.6079045365831461,0.6526593266940128,1.0,0.02696713384544988,0.0,47.946175637393765,48.08781869688386,48.01699716713881,49.362606232294624,48.371104815864015,47.30878186968839,Random Forest
ITC,0.5549032896070915,0.415238608930668,0.9042344608148508,0.9999999999999999,0.10220714648741824,0.0,0.47662165969281045,0.3137287206396985,0.9360166942643383,1.0,0.10657385989853474,0.0,51.41643059490085,50.28328611898017,51.27478753541076,45.679886685552404,47.733711048158646,49.150141643059484,Gradient Boosting
JSWSTEEL,0.48549060378369513,0.35218812344393335,0.673979745053236,0.9999999999999999,0.09983720823423758,0.0,0.4904543997784918,0.25491722650272375,0.7740211045832309,1.0,0.06477754058702212,0.0,50.0,49.57507082152974,51.27478753541076,50.49575070821529,48.654390934844194,50.0,Gradient Boosting
KOTAKBANK,0.6299972557870457,0.4400556592007814,1.0,0.9238508628297815,0.017249912546946855,0.0,0.5027988804151575,0.30141298570071495,1.0000000000000002,0.8385193311037183,0.010601569642127301,0.0,49.150141643059484,50.77903682719547,50.35410764872521,51.41643059490085,51.628895184135985,48.72521246458923,Random Forest
LT,0.2558767640653907,0.7337815582169849,0.6611653854789699,1.0,0.03209256149153217,0.0,0.1644384937197189,0.6502615927419673,0.6236638413988842,1.0,0.017151639818605735,0.0,50.849858356940516,49.362606232294624,49.787535410764875,47.875354107648725,49.716713881019835,50.77903682719547,Gradient Boosting
MARUTI,0.6482099035471169,0.7148005115930522,0.8095181243848693,0.9999999999999998,0.031670535725834004,0.0,0.6451557517359314,0.615279404142619,0.8421678021772696,1.0,0.0,0.011430854353424641,50.212464589235125,51.27478753541076,48.937677053824366,51.98300283286119,49.43342776203966,50.849858356940516,Gradient Boosting
M,0.2871763312089214,0.6504090176201137,0.7800369360551126,0.9999999999999999,0.061827418505029264,0.0,0.23088484140639,0.5159129256249536,0.7859917193130566,1.0,0.04186831429107438,0.0,51.69971671388102,47.23796033994334,50.35410764872521,49.29178470254958,51.77053824362606,49.504249291784696,Random Forest
NTPC,0.26029319146750574,0.52672934476459,0.7472833536121499,0.9999999999999998,0.016041218587688588,0.0,0.03379012457121622,0.0,0.2001517370588508,0.42346738657892735,0.057766783420095336,1.0,45.11331444759207,47.52124645892351,46.74220963172804,47.80453257790368,45.3257790368272,46.671388101983005,SVR-Linear
ONGC,0.6367466164661036,0.6329780380297373,0.5581265242549281,1.0,0.03215831545561665,0.0,0.5548257873729616,0.49731132070822714,0.5326093967497426,1.0000000000000002,0.0038401470618151246,0.0,49.716713881019835,47.733711048158646,46.38810198300283,48.371104815864015,47.52124645892351,48.01699716713881,Gradient Boosting
PNB,0.16984949587270093,0.6678583980485913,1.0,0.730068689874996,0.06555648135999603,0.0,0.13624194118016913,0.5823394863776816,1.0,0.6994159978148109,0.04977618513446269,0.0,47.733711048158646,48.22946175637394,48.158640226628904,48.72521246458923,47.30878186968839,46.17563739376771,Random Forest
